"","year","gear","julian","fish","CU_no","CU","prob"
"158",1985,"Fish Wheel",207,20,73,"MidYR",0
"159",1985,"Fish Wheel",207,20,68,"Teslin",0
"160",1985,"Fish Wheel",207,20,69,"UpperYR",0
"161",1985,"Fish Wheel",207,21,76,"NYR",0
"162",1985,"Fish Wheel",207,21,75,"White",0
"163",1985,"Fish Wheel",207,21,74,"Stew",0
"164",1985,"Fish Wheel",207,21,72,"Pelly",0
"165",1985,"Fish Wheel",207,21,71,"Norden",0
"166",1985,"Fish Wheel",207,21,73,"MidYR",0.0245
"167",1985,"Fish Wheel",207,21,68,"Teslin",0.9755
"168",1985,"Fish Wheel",207,21,69,"UpperYR",0
"169",1985,"Fish Wheel",208,22,76,"NYR",0.9788
"170",1985,"Fish Wheel",208,22,75,"White",0.0081
"171",1985,"Fish Wheel",208,22,74,"Stew",0.0016
"172",1985,"Fish Wheel",208,22,72,"Pelly",0.0073
"173",1985,"Fish Wheel",208,22,71,"Norden",0
"174",1985,"Fish Wheel",208,22,73,"MidYR",0.0035
"175",1985,"Fish Wheel",208,22,68,"Teslin",0
"176",1985,"Fish Wheel",208,22,69,"UpperYR",0
"177",1985,"Fish Wheel",208,23,76,"NYR",0
"178",1985,"Fish Wheel",208,23,75,"White",0.9913
"179",1985,"Fish Wheel",208,23,74,"Stew",0.0074
"180",1985,"Fish Wheel",208,23,72,"Pelly",2e-04
"181",1985,"Fish Wheel",208,23,71,"Norden",0
"182",1985,"Fish Wheel",208,23,73,"MidYR",4e-04
"183",1985,"Fish Wheel",208,23,68,"Teslin",7e-04
"184",1985,"Fish Wheel",208,23,69,"UpperYR",0
"185",1985,"Fish Wheel",208,24,76,"NYR",0.0059
"186",1985,"Fish Wheel",208,24,75,"White",0
"187",1985,"Fish Wheel",208,24,74,"Stew",0.0024
"188",1985,"Fish Wheel",208,24,72,"Pelly",0.328
"189",1985,"Fish Wheel",208,24,71,"Norden",0.0195
"190",1985,"Fish Wheel",208,24,73,"MidYR",0.6412
"191",1985,"Fish Wheel",208,24,68,"Teslin",0
"192",1985,"Fish Wheel",208,24,69,"UpperYR",0
"193",1985,"Fish Wheel",208,25,76,"NYR",0
"194",1985,"Fish Wheel",208,25,75,"White",0
"195",1985,"Fish Wheel",208,25,74,"Stew",0.9797
"196",1985,"Fish Wheel",208,25,72,"Pelly",0.0045
"197",1985,"Fish Wheel",208,25,71,"Norden",0.0042
"198",1985,"Fish Wheel",208,25,73,"MidYR",0.009
"199",1985,"Fish Wheel",208,25,68,"Teslin",0.0017
"200",1985,"Fish Wheel",208,25,69,"UpperYR",0
"201",1985,"Fish Wheel",209,26,76,"NYR",0
"202",1985,"Fish Wheel",209,26,75,"White",0
"203",1985,"Fish Wheel",209,26,74,"Stew",0.0069
"204",1985,"Fish Wheel",209,26,72,"Pelly",0.8081
"205",1985,"Fish Wheel",209,26,71,"Norden",0
"206",1985,"Fish Wheel",209,26,73,"MidYR",0.185
"207",1985,"Fish Wheel",209,26,68,"Teslin",0
"208",1985,"Fish Wheel",209,26,69,"UpperYR",0
"209",1985,"Fish Wheel",209,27,76,"NYR",0
"210",1985,"Fish Wheel",209,27,75,"White",0.2712
"211",1985,"Fish Wheel",209,27,74,"Stew",0.1867
"212",1985,"Fish Wheel",209,27,72,"Pelly",0.5126
"213",1985,"Fish Wheel",209,27,71,"Norden",0.0042
"214",1985,"Fish Wheel",209,27,73,"MidYR",0.0212
"215",1985,"Fish Wheel",209,27,68,"Teslin",0
"216",1985,"Fish Wheel",209,27,69,"UpperYR",0
"217",1985,"Fish Wheel",209,28,76,"NYR",0
"218",1985,"Fish Wheel",209,28,75,"White",0
"219",1985,"Fish Wheel",209,28,74,"Stew",0.0045
"220",1985,"Fish Wheel",209,28,72,"Pelly",2e-04
"221",1985,"Fish Wheel",209,28,71,"Norden",0
"222",1985,"Fish Wheel",209,28,73,"MidYR",0.0314
"223",1985,"Fish Wheel",209,28,68,"Teslin",2e-04
"224",1985,"Fish Wheel",209,28,69,"UpperYR",0.9636
"225",1985,"Fish Wheel",209,29,76,"NYR",0.0427
"226",1985,"Fish Wheel",209,29,75,"White",0
"227",1985,"Fish Wheel",209,29,74,"Stew",0.1131
"228",1985,"Fish Wheel",209,29,72,"Pelly",0.5234
"229",1985,"Fish Wheel",209,29,71,"Norden",0
"230",1985,"Fish Wheel",209,29,73,"MidYR",0.2953
"231",1985,"Fish Wheel",209,29,68,"Teslin",0.0216
"232",1985,"Fish Wheel",209,29,69,"UpperYR",0
"233",1985,"Fish Wheel",209,30,76,"NYR",0
"234",1985,"Fish Wheel",209,30,75,"White",0.0311
"235",1985,"Fish Wheel",209,30,74,"Stew",0.0353
