year,gear,julian,fish,CU_no,CU,prob
1985,Fish Wheel,209,28,73,MidYR,0.0314
1985,Fish Wheel,209,28,68,Teslin,2e-04
1985,Fish Wheel,209,28,69,UpperYR,0.9636
1985,Fish Wheel,209,29,76,NYR,0.0427
1985,Fish Wheel,209,29,75,White,0
1985,Fish Wheel,209,29,74,Stew,0.1131
1985,Fish Wheel,209,29,72,Pelly,0.5234
1985,Fish Wheel,209,29,71,Norden,0
1985,Fish Wheel,209,29,73,MidYR,0.2953
1985,Fish Wheel,209,29,68,Teslin,0.0216
1985,Fish Wheel,209,29,69,UpperYR,0
1985,Fish Wheel,209,30,76,NYR,0
1985,Fish Wheel,209,30,75,White,0.0311
1985,Fish Wheel,209,30,74,Stew,0.0353
1985,Fish Wheel,209,30,72,Pelly,0.9218
1985,Fish Wheel,209,30,71,Norden,0
1985,Fish Wheel,209,30,73,MidYR,0.0101
1985,Fish Wheel,209,30,68,Teslin,0.0015
1985,Fish Wheel,209,30,69,UpperYR,0
1985,Fish Wheel,209,168,76,NYR,0
1985,Fish Wheel,209,168,75,White,0.0181
1985,Fish Wheel,209,168,74,Stew,0.9183
1985,Fish Wheel,209,168,72,Pelly,0.0556
1985,Fish Wheel,209,168,71,Norden,0
1985,Fish Wheel,209,168,73,MidYR,0.0015
1985,Fish Wheel,209,168,68,Teslin,0.0065
1985,Fish Wheel,209,168,69,UpperYR,0
1985,Fish Wheel,209,193,76,NYR,0
1985,Fish Wheel,209,193,75,White,0.0091
1985,Fish Wheel,209,193,74,Stew,0.0037
1985,Fish Wheel,209,193,72,Pelly,0.8936
1985,Fish Wheel,209,193,71,Norden,0
1985,Fish Wheel,209,193,73,MidYR,0.0704
1985,Fish Wheel,209,193,68,Teslin,0.023
1985,Fish Wheel,209,193,69,UpperYR,0
1985,Fish Wheel,209,249,76,NYR,0
1985,Fish Wheel,209,249,75,White,0
1985,Fish Wheel,209,249,74,Stew,6e-04
1985,Fish Wheel,209,249,72,Pelly,0.0011
1985,Fish Wheel,209,249,71,Norden,0
1985,Fish Wheel,209,249,73,MidYR,0.0193
1985,Fish Wheel,209,249,68,Teslin,0.979
1985,Fish Wheel,209,249,69,UpperYR,0
1985,Fish Wheel,209,268,76,NYR,0.0084
1985,Fish Wheel,209,268,75,White,0
1985,Fish Wheel,209,268,74,Stew,0.0365
1985,Fish Wheel,209,268,72,Pelly,0.9536
1985,Fish Wheel,209,268,71,Norden,0
1985,Fish Wheel,209,268,73,MidYR,0
1985,Fish Wheel,209,268,68,Teslin,0.0015
1985,Fish Wheel,209,268,69,UpperYR,0
1985,Fish Wheel,209,269,76,NYR,0
1985,Fish Wheel,209,269,75,White,0
1985,Fish Wheel,209,269,74,Stew,0.022
1985,Fish Wheel,209,269,72,Pelly,0.0013
1985,Fish Wheel,209,269,71,Norden,0
1985,Fish Wheel,209,269,73,MidYR,0.0041
1985,Fish Wheel,209,269,68,Teslin,0.9682
1985,Fish Wheel,209,269,69,UpperYR,0.0044
1985,Fish Wheel,210,31,76,NYR,0
1985,Fish Wheel,210,31,75,White,0
1985,Fish Wheel,210,31,74,Stew,0.1874
1985,Fish Wheel,210,31,72,Pelly,0.0028
1985,Fish Wheel,210,31,71,Norden,0
1985,Fish Wheel,210,31,73,MidYR,0.2401
1985,Fish Wheel,210,31,68,Teslin,0.5697
1985,Fish Wheel,210,31,69,UpperYR,0
1985,Fish Wheel,210,32,76,NYR,0.7992
1985,Fish Wheel,210,32,75,White,0
1985,Fish Wheel,210,32,74,Stew,0.0305
1985,Fish Wheel,210,32,72,Pelly,0.0664
1985,Fish Wheel,210,32,71,Norden,0
1985,Fish Wheel,210,32,73,MidYR,0.0922
1985,Fish Wheel,210,32,68,Teslin,0.0106
1985,Fish Wheel,210,32,69,UpperYR,0
1985,Fish Wheel,210,33,76,NYR,0.0899
1985,Fish Wheel,210,33,75,White,0.0019
1985,Fish Wheel,210,33,74,Stew,0.4358
1985,Fish Wheel,210,33,72,Pelly,0.2122
1985,Fish Wheel,210,33,71,Norden,0
1985,Fish Wheel,210,33,73,MidYR,0.2576
1985,Fish Wheel,210,33,68,Teslin,0
1985,Fish Wheel,210,33,69,UpperYR,0
1985,Fish Wheel,210,34,76,NYR,0
1985,Fish Wheel,210,34,75,White,0
1985,Fish Wheel,210,34,74,Stew,0.0016
1985,Fish Wheel,210,34,72,Pelly,1e-04
1985,Fish Wheel,210,34,71,Norden,0
1985,Fish Wheel,210,34,73,MidYR,0.0528
1985,Fish Wheel,210,34,68,Teslin,0.9455
1985,Fish Wheel,210,34,69,UpperYR,0
1985,Fish Wheel,210,35,76,NYR,0
1985,Fish Wheel,210,35,75,White,6e-04
1985,Fish Wheel,210,35,74,Stew,0.9664
1985,Fish Wheel,210,35,72,Pelly,0.0308
1985,Fish Wheel,210,35,71,Norden,0
1985,Fish Wheel,210,35,73,MidYR,0.0022
1985,Fish Wheel,210,35,68,Teslin,0
1985,Fish Wheel,210,35,69,UpperYR,0
1985,Fish Wheel,210,36,76,NYR,0
1985,Fish Wheel,210,36,75,White,0
1985,Fish Wheel,210,36,74,Stew,0.0044
1985,Fish Wheel,210,36,72,Pelly,0
1985,Fish Wheel,210,36,71,Norden,0
1985,Fish Wheel,210,36,73,MidYR,0.0061
1985,Fish Wheel,210,36,68,Teslin,0.9895
1985,Fish Wheel,210,36,69,UpperYR,0
1985,Fish Wheel,210,37,76,NYR,0.664
1985,Fish Wheel,210,37,75,White,0
1985,Fish Wheel,210,37,74,Stew,0.1591
1985,Fish Wheel,210,37,72,Pelly,0.0383
1985,Fish Wheel,210,37,71,Norden,0
1985,Fish Wheel,210,37,73,MidYR,0.0794
1985,Fish Wheel,210,37,68,Teslin,0.0588
1985,Fish Wheel,210,37,69,UpperYR,0
1985,Fish Wheel,210,38,76,NYR,0.0897
1985,Fish Wheel,210,38,75,White,0
1985,Fish Wheel,210,38,74,Stew,0.029
1985,Fish Wheel,210,38,72,Pelly,5e-04
1985,Fish Wheel,210,38,71,Norden,0
1985,Fish Wheel,210,38,73,MidYR,0.0165
1985,Fish Wheel,210,38,68,Teslin,0.8642
1985,Fish Wheel,210,38,69,UpperYR,0
1985,Fish Wheel,210,39,76,NYR,0.0092
1985,Fish Wheel,210,39,75,White,0
1985,Fish Wheel,210,39,74,Stew,0.9746
1985,Fish Wheel,210,39,72,Pelly,0.0109
1985,Fish Wheel,210,39,71,Norden,0
1985,Fish Wheel,210,39,73,MidYR,0.002
1985,Fish Wheel,210,39,68,Teslin,0.0023
1985,Fish Wheel,210,39,69,UpperYR,0
1985,Fish Wheel,210,40,76,NYR,0
1985,Fish Wheel,210,40,75,White,0
1985,Fish Wheel,210,40,74,Stew,0.0044
1985,Fish Wheel,210,40,72,Pelly,0.9943
1985,Fish Wheel,210,40,71,Norden,0
1985,Fish Wheel,210,40,73,MidYR,0.0013
1985,Fish Wheel,210,40,68,Teslin,0
1985,Fish Wheel,210,40,69,UpperYR,0
1985,Fish Wheel,210,41,76,NYR,0
1985,Fish Wheel,210,41,75,White,0
1985,Fish Wheel,210,41,74,Stew,0.0141
1985,Fish Wheel,210,41,72,Pelly,0.0015
1985,Fish Wheel,210,41,71,Norden,0
1985,Fish Wheel,210,41,73,MidYR,0.5529
1985,Fish Wheel,210,41,68,Teslin,0.4264
1985,Fish Wheel,210,41,69,UpperYR,0.0043
1985,Fish Wheel,210,153,76,NYR,6e-04
1985,Fish Wheel,210,153,75,White,0
1985,Fish Wheel,210,153,74,Stew,0.0274
1985,Fish Wheel,210,153,72,Pelly,0.0221
1985,Fish Wheel,210,153,71,Norden,0
1985,Fish Wheel,210,153,73,MidYR,0.8635
1985,Fish Wheel,210,153,68,Teslin,0.0861
