"stock","year","mean","lower","upper","cv"
"NorthernYukonR.andtribs.","2013",393.127213878652,10,991.288915461458,0.624027592607946
"NorthernYukonR.andtribs.","2014",4229.35961016144,2948.30961648143,5510.40960384147,0.151447277101027
"NorthernYukonR.andtribs.","2015",5244.45315594628,4096.1074442902,6392.79886760239,0.109481930480595
"NorthernYukonR.andtribs.","2016",6822.08840676821,5402.68106055714,8241.49575297931,0.104030266216053
"NorthernYukonR.andtribs.","2017",5885.26877082993,4372.46283967368,7398.07470198621,0.128524795558566
"NorthernYukonR.andtribs.","2018",4748.97900056916,3467.46418073523,6030.49382040311,0.134925298646336
"NorthernYukonR.andtribs.","2019",2316.46580028784,1395.16852533833,3237.76307523735,0.198858380476636
"NorthernYukonR.andtribs.","2020",5468.46417697746,4665.9582737364,6270.97008021855,0.0733758032666346
"NorthernYukonR.andtribs.","2021",2835.01923294949,1997.19670274282,3672.84176315618,0.147763112233815
"NorthernYukonR.andtribs.","2022",504.605427825807,165.474720167251,843.736135484363,0.336035532871464
"NorthernYukonR.andtribs.","2023",2009.4529003227,1139.14176352581,2879.76403711959,0.216554251323115
"NorthernYukonR.andtribs.","2024",2286.35678841317,1214.1182789209,3358.59529790543,0.234486261052118
"NorthernYukonR.andtribs.","2025",1104.94938989548,313.19423834701,1896.70454144394,0.358276658998545
"Whiteandtribs.","1985",2249.31463364647,1276.54892814506,3222.08033914789,0.216236023842609
"Whiteandtribs.","1986",3981.80691096814,2475.07548423478,5488.53833770151,0.189201970414861
"Whiteandtribs.","1987",2722.49916738005,1661.73202197671,3783.2663127834,0.194814962317171
"Whiteandtribs.","1988",1771.74954306302,10,4137.78190511439,0.582444330418485
"Whiteandtribs.","1989",2408.95213385837,10,8145.65421102203,0.844314639617946
"Whiteandtribs.","1990",1743.7026953301,10,5091.81961084279,0.7285960537385
"Whiteandtribs.","1991",972.744805650254,280.276781481344,1665.21282981916,0.355935092198212
"Whiteandtribs.","1992",3351.79869258368,1865.29530011675,4838.30208505063,0.22174711681761
"Whiteandtribs.","1993",10307.6262600402,7099.50511332417,13515.7474067563,0.15561881396268
"Whiteandtribs.","1994",6579.33586310682,4303.56380313939,8855.10792307428,0.172948463744546
"Whiteandtribs.","1995",4074.24433945821,2418.63352195733,5729.85515695911,0.203180108942736
"Whiteandtribs.","1996",10490.4890902198,7175.31587548023,13805.6623049594,0.158008515438537
"Whiteandtribs.","1997",4815.26206051942,2767.03520094899,6863.48892008987,0.212680725766096
"Whiteandtribs.","1998",2666.2419348912,406.544013937837,4925.93985584458,0.423760854441287
"Whiteandtribs.","1999",3764.18888990701,2377.94943292715,5150.42834688688,0.18413521445441
"Whiteandtribs.","2000",2814.70547108429,1777.27499967549,3852.1359424931,0.184287571482418
"Whiteandtribs.","2001",4503.6214523992,2461.5919895028,6545.65091529562,0.226709714002336
"Whiteandtribs.","2002",3003.49189753712,1774.71602279961,4232.26777227465,0.204557880736272
"Whiteandtribs.","2003",5024.18747747477,2967.24869462513,7081.12626032444,0.204703625419199
"Whiteandtribs.","2004",3360.29594237081,1954.61069631795,4765.98118842368,0.209160929596741
"Whiteandtribs.","2005",13965.8586122692,12660.5591768823,15271.1580476562,0.0467318004436975
"Whiteandtribs.","2006",3502.57854210329,1029.27007677219,5975.8870074344,0.353069665048238
"Whiteandtribs.","2007",9686.98837505859,8345.7533878982,11028.223362219,0.0692286877629444
"Whiteandtribs.","2008",1981.39889910594,1404.63481304525,2558.16298516663,0.145544667033211
